Context,mean_delta,std_delta,count,mean_abs_delta
analyst,0.8005940914154053,0.33086818357776926,10,0.8005940914154053
laborer,0.6255998443928548,0.6642716719696204,10,0.6255998443928548
sewer,0.5475541114807129,0.4937314625913064,10,0.5475541114807129
developer,0.4429046154022217,0.5594698093805659,10,0.4429046154022217
mechanic,0.29755420684814454,0.5621351771855992,10,0.29755420684814454
guard,0.26191426515579225,0.5218266470028254,10,0.26191426515579225
clerk,0.21492236256599426,0.6142589147647554,10,0.21492236256599426
driver,0.16290929317474365,0.43290485747834406,10,0.16290929317474365
accountant,0.16039578914642333,0.28096141893772714,10,0.16039578914642333
constructor,0.14416103363037108,0.6304819370442784,10,0.14416103363037108
lawyer,0.09447309970855713,0.24765094422503434,10,0.09447309970855713
sheriff,0.07918472290039062,0.4904898564246595,10,0.07918472290039062
editor,0.07289326190948486,0.2535037881536634,10,0.07289326190948486
attendant,0.0692253828048706,0.3629986455835053,10,0.0692253828048706
auditor,0.06651111841201782,0.6748400170416744,10,0.06651111841201782
chief,0.06586179733276368,0.343794750278144,10,0.06586179733276368
carpenter,0.0486404505725659,0.16040048536101556,10,0.0486404505725659
mover,0.04104401310905814,0.42242560535673784,10,0.04104401310905814
cashier,-0.0008916164137190208,0.004085649247894838,10,0.0008916164137190208
hairdresser,-0.0051746890007962065,0.005822080470952542,10,0.0051746890007962065
CEO,-0.008329296112060547,0.4315360480373741,10,0.008329296112060547
janitor,-0.03550421386025846,0.04856097362056529,10,0.03550421386025846
housekeeper,-0.03857212457805872,0.10807652122282388,10,0.03857212457805872
cook,-0.04111616611480713,0.29224075387880494,10,0.04111616611480713
receptionist,-0.04679592191241681,0.07674779875587658,10,0.04679592191241681
writer,-0.05638895034790039,0.25685446412611584,10,0.05638895034790039
librarian,-0.056997150188544767,0.145157884265041,10,0.056997150188544767
secretary,-0.11108722686767578,0.8282254059527513,10,0.11108722686767578
physician,-0.14318220615386962,0.28383598391295256,10,0.14318220615386962
farmer,-0.15270860195159913,0.2198939241131552,10,0.15270860195159913
teacher,-0.18365414440631866,0.5935181149348443,10,0.18365414440631866
cleaner,-0.22621586322784423,0.4826195985156148,10,0.22621586322784423
baker,-0.2818587899208069,0.27536839877340386,10,0.2818587899208069
assistant,-0.35266742706298826,0.2936241603089969,10,0.35266742706298826
salesperson,-0.3805598046630621,0.7643781908870788,10,0.3805598046630621
nurse,-0.4319330155849457,0.5372467185968033,10,0.4319330155849457
designer,-0.4873092770576477,0.7486860326571513,10,0.4873092770576477
supervisor,-0.6307932376861572,0.9108755180040482,10,0.6307932376861572
manager,-0.9939223289489746,1.0486110874907442,10,0.9939223289489746
counselor,-1.0693093061447143,0.7846440672279982,10,1.0693093061447143
