Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
prepared,4,0.20222395658493042,0.1335344016598586,3.0287918928942252,0.056364900682213524,0.7392942833809236,1.5143959464471122,False,male
assigned,3,-0.25258882840474445,0.16316361433395005,-2.6813372945139684,0.11548773160633853,0.7392942833809236,-1.5480708087758226,False,female
updated,4,-0.1786576509475708,0.16632434192311227,-2.1483043177186887,0.12090120907876226,0.7392942833809236,-1.0741521588593443,False,female
presented,3,-0.5153311093648275,0.37200807726241386,-2.399355601924446,0.1385098474419173,0.7392942833809236,-1.3852686026527157,False,female
drafted,3,0.013542970021565756,0.011029561503836344,2.126749295933036,0.16729624014829808,0.7392942833809236,1.2278792785057855,False,male
delivered,3,-0.3681141535441081,0.3305578954025915,-1.9288373558497902,0.19354173847018738,0.7392942833809236,-1.1136147666228824,False,female
reviewed,3,-0.8748000264167786,0.8195738188208722,-1.848763415108092,0.20573614876758434,0.7392942833809236,-1.067384055380589,False,female
processed,4,-0.19646692276000977,0.28800229880644496,-1.364342740139359,0.2657916710402515,0.7392942833809236,-0.6821713700696794,False,female
administered,3,-0.24817949533462524,0.28626519210074297,-1.5016128651963287,0.2720252722310956,0.7392942833809236,-0.8669565919397055,False,female
issued,4,-0.19867199659347534,0.3171273008778882,-1.2529479237107701,0.29899406015415775,0.7392942833809236,-0.6264739618553851,False,female
wore,3,0.3157613277435303,0.4088011876775819,1.337849984791506,0.31277835066116,0.7392942833809236,0.7724080488547128,False,male
arranged,3,-0.2824881871541341,0.48110122153976415,-1.0170082111266177,0.4161587272339677,0.8356182609437282,-0.5871699644620124,False,female
revised,3,-0.2069082260131836,0.37422933312473927,-0.9576362092367665,0.43930414106358134,0.8356182609437282,-0.5528915231885799,False,female
opened,3,0.17858004570007324,0.3386773055537445,0.9132873897906179,0.4574992450912074,0.8356182609437282,0.527286720343104,False,male
monitored,4,-0.31270861625671387,0.8426881138939178,-0.7421692820888164,0.5118101378658557,0.8356182609437282,-0.3710846410444082,False,female
filed,4,0.10210061073303223,0.27685563957762627,0.737572916259159,0.5142266221192173,0.8356182609437282,0.3687864581295795,False,male
adjusted,3,0.19843316078186035,0.5474214968536415,0.6278458525214926,0.5942358386425578,0.9088312826297943,0.36248697196287377,False,male
organized,4,-0.0721585750579834,0.2843080776123413,-0.5076083357460762,0.6466935803685355,0.9341129494212179,-0.25380416787303806,False,female
cut,3,-0.1407464345296224,0.5261513583733619,-0.46332670572805795,0.6886616198811545,0.9423790587847376,-0.2675017982748368,False,female
measured,3,0.12924019495646158,0.5733022628846178,0.3904582251574862,0.7338617660681279,0.9436710902035651,0.22543116140197814,False,male
rolled,3,-0.04610379536946615,0.38294546374607324,-0.2085260789369853,0.8541270220395559,0.9436710902035651,-0.1203925878073256,False,female
set,3,0.052867492039998375,0.4915437713281195,0.1862889688025267,0.8694019885851432,0.9436710902035651,0.10755398628519659,False,male
built,3,0.07590667406717937,0.7705699194844599,0.17061945034901796,0.8802223918777257,0.9436710902035651,0.09850718558799151,False,male
recorded,4,0.04703092575073242,0.6063385082443332,0.15513092146138474,0.8865679469944758,0.9436710902035651,0.07756546073069237,False,male
compiled,3,-0.01712632179260254,0.2254838478490447,-0.13155558491010275,0.9073760482726587,0.9436710902035651,-0.07595365236124649,False,female
applied,3,-0.01101223627726237,0.2680880457322626,-0.07114734521292448,0.9497547741936185,0.9497547741936185,-0.041076938910809185,False,female
